farm_id,crop,area,yield,rainfall,temperature,fertilizer,pesticide,soil_type,irrigation,cost,revenue,profit,season,region
1032,Wheat,-5.0,5,100,45,50,10,Sandy,0,1000,100,-1000,Wet,Region2
1033,Maize,10.0,5,100,45,50,100,Sandy,1,1000,2000,-1000,Dry,Region1
1034,Maize,10.0,-1,100,100,50,100,Sandy,yes,-500,2000,500,Dry,Region1
1035,Rice,10.0,-1,5000,20,50,10,Sandy,0,-500,100,-1000,Wet,Region2
1036,Maize,-5.0,2,5000,20,200,100,Clay,yes,-500,100,500,Wet,Region1
1037,Rice,-5.0,-1,10000,20,200,10,Sandy,yes,1000,2000,-1000,Dry,Region2
1038,Wheat,-5.0,5,5000,100,50,10,Sandy,0,-500,2000,-1000,Wet,Region1
1039,Rice,1.5,5,10000,20,50,10,Sandy,1,-500,2000,-1000,Dry,Region1
1040,Maize,10.0,5,10000,45,200,10,Sandy,0,1000,2000,500,Wet,Region1
1041,Rice,-5.0,2,100,20,50,100,Sandy,1,1000,2000,-1000,Wet,Region1
1042,Maize,1.5,-1,5000,20,50,10,Clay,yes,-500,2000,500,Wet,Region1
1043,Rice,1.5,5,100,45,50,10,Sandy,1,1000,2000,-1000,Dry,Region1
1044,Wheat,10.0,5,10000,20,200,10,Sandy,yes,-500,100,500,Wet,Region1
1045,Rice,10.0,-1,10000,100,200,100,Sandy,yes,-500,2000,500,Dry,Region2
1046,Maize,-5.0,-1,10000,100,50,10,Clay,1,-500,2000,500,Wet,Region1
1047,Rice,10.0,-1,100,20,200,100,Sandy,yes,1000,2000,-1000,Wet,Region1
1048,Maize,1.5,2,100,20,200,100,Sandy,yes,1000,2000,-1000,Wet,Region2
1049,Wheat,-5.0,-1,5000,20,200,100,Clay,0,1000,100,500,Dry,Region1
1050,Rice,-5.0,5,5000,20,50,100,Clay,yes,1000,100,-1000,Dry,Region2
1051,Rice,1.5,2,100,20,50,10,Clay,0,1000,2000,500,Dry,Region1
1052,Maize,-5.0,2,100,20,50,10,Clay,0,1000,100,500,Wet,Region1
1053,Wheat,1.5,5,10000,100,200,10,Clay,yes,-500,100,500,Dry,Region2
1054,Wheat,1.5,5,10000,20,50,10,Sandy,0,-500,2000,-1000,Dry,Region1
1055,Rice,-5.0,2,100,100,50,100,Clay,0,1000,100,-1000,Dry,Region1
1056,Rice,1.5,5,100,45,200,10,Clay,1,1000,2000,500,Wet,Region2
1057,Maize,-5.0,2,5000,20,50,10,Sandy,yes,-500,100,-1000,Dry,Region2
1058,Maize,1.5,5,100,100,200,10,Sandy,1,1000,100,500,Wet,Region2
1059,Wheat,-5.0,5,100,100,200,100,Clay,yes,1000,2000,500,Wet,Region1
1060,Wheat,1.5,2,5000,100,200,10,Sandy,0,-500,100,-1000,Wet,Region1
1061,Rice,-5.0,-1,100,20,50,100,Clay,0,1000,100,500,Dry,Region1
1062,Rice,10.0,5,100,100,200,10,Sandy,0,1000,100,-1000,Wet,Region1
1063,Rice,10.0,-1,100,20,50,10,Clay,0,-500,2000,500,Wet,Region2
1064,Rice,10.0,2,10000,45,200,100,Clay,1,-500,2000,-1000,Wet,Region1
1065,Maize,1.5,5,100,45,200,100,Clay,1,1000,2000,500,Wet,Region1
1066,Wheat,1.5,5,10000,20,50,100,Sandy,yes,-500,100,-1000,Wet,Region2
1067,Rice,1.5,-1,100,45,50,10,Clay,1,1000,2000,-1000,Dry,Region2
1068,Rice,-5.0,-1,100,20,200,100,Sandy,1,1000,2000,500,Wet,Region2
1069,Rice,1.5,5,5000,100,200,100,Clay,0,1000,2000,500,Wet,Region2
1070,Wheat,10.0,5,5000,20,200,10,Clay,yes,-500,100,500,Dry,Region2
1071,Maize,10.0,5,5000,20,200,100,Clay,1,1000,2000,500,Dry,Region2
1072,Wheat,-5.0,5,10000,45,200,100,Sandy,0,1000,2000,-1000,Dry,Region1
1073,Rice,-5.0,5,10000,100,50,10,Sandy,0,-500,100,500,Wet,Region2
1074,Rice,-5.0,2,100,45,50,10,Clay,1,1000,2000,500,Wet,Region2
1075,Maize,-5.0,5,10000,20,200,100,Sandy,yes,1000,100,-1000,Wet,Region2
1076,Wheat,10.0,5,100,45,50,100,Clay,0,1000,100,500,Wet,Region1
1077,Wheat,-5.0,2,100,20,50,100,Clay,0,-500,100,-1000,Dry,Region2
1078,Maize,-5.0,5,5000,100,50,100,Sandy,1,1000,2000,500,Wet,Region2
1079,Maize,10.0,-1,100,45,200,100,Clay,1,1000,2000,-1000,Dry,Region2
1080,Wheat,-5.0,5,5000,100,200,10,Clay,1,-500,100,500,Wet,Region2
1081,Wheat,-5.0,-1,10000,45,50,100,Clay,1,1000,2000,-1000,Wet,Region1
1082,Wheat,-5.0,-1,100,100,50,10,Clay,yes,1000,2000,-1000,Dry,Region1
1083,Maize,10.0,-1,5000,20,200,10,Clay,yes,1000,100,500,Dry,Region1
1084,Rice,-5.0,2,100,20,50,10,Sandy,1,1000,2000,500,Wet,Region2
1085,Wheat,1.5,5,100,45,50,10,Sandy,yes,1000,2000,500,Wet,Region1
1086,Rice,10.0,5,100,100,50,100,Clay,1,1000,100,500,Wet,Region1
1087,Rice,-5.0,-1,100,100,50,10,Sandy,0,-500,2000,500,Dry,Region1
1088,Maize,1.5,-1,100,45,200,100,Clay,yes,1000,2000,500,Dry,Region1
1089,Rice,-5.0,2,100,45,200,10,Clay,0,-500,100,-1000,Dry,Region2
1090,Rice,-5.0,2,100,100,50,100,Sandy,0,1000,2000,500,Wet,Region1
1091,Rice,1.5,-1,10000,20,200,10,Sandy,yes,1000,100,-1000,Dry,Region1
1092,Wheat,-5.0,2,5000,20,50,100,Sandy,yes,1000,100,500,Wet,Region1
1093,Rice,10.0,2,100,20,200,10,Clay,0,-500,100,-1000,Wet,Region1
1094,Rice,10.0,2,100,20,50,10,Sandy,1,-500,2000,500,Wet,Region1
1095,Maize,10.0,5,10000,20,200,10,Clay,yes,-500,100,500,Wet,Region1
1096,Maize,10.0,-1,5000,100,200,10,Clay,1,1000,100,-1000,Dry,Region1
1097,Maize,1.5,-1,10000,100,200,10,Sandy,0,1000,2000,500,Wet,Region2
1098,Rice,1.5,5,5000,100,50,10,Sandy,1,1000,100,-1000,Dry,Region2
1099,Rice,10.0,5,5000,20,50,100,Sandy,yes,1000,100,500,Dry,Region1
1100,Rice,-5.0,2,5000,20,200,10,Sandy,1,-500,2000,500,Dry,Region1
1101,Rice,-5.0,-1,10000,45,200,100,Clay,1,-500,2000,500,Wet,Region1
1102,Rice,1.5,-1,5000,45,50,10,Clay,0,1000,100,-1000,Dry,Region1
1103,Wheat,-5.0,2,5000,20,200,100,Sandy,1,-500,2000,500,Dry,Region2
1104,Rice,1.5,5,5000,100,200,100,Clay,1,-500,2000,500,Dry,Region2
1105,Maize,-5.0,2,10000,20,200,10,Sandy,1,1000,2000,500,Dry,Region2
1106,Rice,-5.0,-1,10000,100,50,10,Sandy,1,1000,2000,500,Dry,Region2
1107,Wheat,1.5,5,100,20,50,10,Sandy,0,1000,2000,500,Wet,Region1
1108,Maize,-5.0,2,100,20,50,100,Clay,1,-500,100,-1000,Dry,Region1
1109,Wheat,1.5,-1,100,20,200,100,Clay,1,1000,2000,500,Dry,Region1
1110,Maize,-5.0,5,5000,100,50,100,Clay,1,-500,100,-1000,Wet,Region2
1111,Wheat,10.0,5,10000,100,200,10,Sandy,1,1000,100,-1000,Dry,Region1
1112,Wheat,-5.0,5,10000,100,50,10,Sandy,0,-500,2000,500,Dry,Region1
1113,Rice,10.0,5,10000,100,50,100,Sandy,0,1000,100,500,Wet,Region2
1114,Maize,10.0,-1,100,45,50,100,Clay,yes,1000,2000,-1000,Dry,Region2
1115,Maize,-5.0,5,5000,20,50,10,Clay,0,-500,2000,-1000,Dry,Region2
1116,Wheat,10.0,-1,5000,45,200,10,Clay,yes,-500,2000,-1000,Wet,Region2
1117,Rice,-5.0,-1,100,100,50,10,Sandy,yes,-500,100,-1000,Wet,Region2
1118,Rice,10.0,2,10000,100,200,10,Sandy,1,1000,2000,-1000,Wet,Region2
1119,Maize,1.5,2,5000,100,50,10,Sandy,1,1000,2000,500,Dry,Region1
1120,Rice,10.0,-1,5000,45,200,100,Sandy,0,-500,100,-1000,Dry,Region1
1121,Maize,1.5,5,5000,20,200,10,Clay,yes,-500,2000,500,Wet,Region2
1122,Wheat,10.0,2,10000,45,200,100,Sandy,yes,-500,100,-1000,Dry,Region2
1123,Wheat,1.5,-1,10000,20,50,100,Sandy,1,-500,2000,500,Dry,Region2
1124,Rice,1.5,2,5000,20,50,10,Clay,1,1000,100,-1000,Wet,Region2
1125,Rice,1.5,5,100,100,50,100,Sandy,yes,1000,100,500,Wet,Region1
1126,Maize,10.0,5,10000,45,200,100,Sandy,0,1000,100,-1000,Dry,Region1
1127,Wheat,1.5,5,100,45,50,10,Clay,yes,-500,2000,-1000,Wet,Region1
1128,Wheat,-5.0,-1,5000,45,50,10,Clay,1,1000,2000,500,Wet,Region1
1129,Wheat,-5.0,2,100,100,200,10,Sandy,yes,1000,2000,500,Wet,Region2
1130,Maize,-5.0,-1,100,100,200,10,Clay,0,1000,2000,-1000,Dry,Region1
1131,Wheat,10.0,5,100,100,50,10,Sandy,1,-500,2000,500,Dry,Region1
1132,Wheat,-5.0,-1,10000,45,200,10,Clay,yes,-500,2000,500,Dry,Region1
1133,Maize,-5.0,-1,5000,45,200,100,Sandy,0,-500,2000,-1000,Dry,Region1
1134,Wheat,-5.0,2,10000,45,50,10,Clay,0,-500,100,500,Wet,Region2
1135,Maize,-5.0,5,100,45,200,100,Sandy,1,-500,100,500,Wet,Region2
1136,Wheat,10.0,-1,100,45,50,10,Clay,1,1000,100,-1000,Dry,Region2
1137,Rice,1.5,-1,5000,20,200,10,Sandy,1,1000,100,-1000,Wet,Region2
1138,Maize,10.0,5,100,20,200,10,Clay,0,-500,100,-1000,Wet,Region2
1139,Wheat,10.0,-1,5000,45,50,100,Sandy,0,1000,2000,-1000,Wet,Region1
1140,Rice,1.5,5,5000,20,200,10,Sandy,1,-500,100,-1000,Wet,Region2
1141,Rice,1.5,5,100,20,200,10,Clay,1,1000,100,-1000,Dry,Region2
1142,Rice,10.0,2,10000,100,50,100,Clay,yes,-500,2000,500,Dry,Region2
1143,Rice,10.0,2,100,100,200,100,Sandy,0,-500,100,-1000,Wet,Region2
1144,Rice,1.5,2,5000,45,50,10,Clay,yes,-500,2000,500,Dry,Region1
1145,Rice,10.0,2,10000,20,200,10,Sandy,yes,-500,100,-1000,Dry,Region1
1146,Maize,1.5,5,5000,100,200,10,Sandy,yes,1000,100,-1000,Wet,Region2
1147,Rice,-5.0,5,100,45,200,100,Clay,0,1000,100,-1000,Dry,Region2
1148,Wheat,-5.0,2,10000,100,200,100,Clay,yes,1000,100,-1000,Wet,Region1
1149,Maize,-5.0,5,10000,20,200,10,Clay,yes,-500,100,500,Wet,Region2
1150,Maize,-5.0,-1,10000,20,200,10,Clay,1,1000,100,500,Dry,Region2
1151,Maize,10.0,2,10000,100,200,100,Clay,0,1000,100,-1000,Dry,Region2
1152,Wheat,1.5,2,100,45,200,100,Sandy,yes,-500,2000,500,Wet,Region2
1153,Rice,10.0,-1,100,100,50,10,Sandy,0,1000,100,-1000,Wet,Region1
1154,Wheat,1.5,5,100,100,200,10,Sandy,yes,-500,2000,-1000,Dry,Region2
1155,Maize,10.0,-1,100,45,50,100,Sandy,yes,1000,100,500,Wet,Region1
1156,Maize,-5.0,2,5000,45,200,10,Clay,yes,-500,2000,-1000,Dry,Region1
1157,Maize,10.0,5,10000,100,50,100,Sandy,0,-500,2000,-1000,Dry,Region1
1158,Wheat,-5.0,-1,100,20,200,100,Sandy,yes,1000,100,-1000,Dry,Region1
1159,Rice,1.5,-1,5000,20,50,100,Clay,0,-500,2000,-1000,Wet,Region2
1160,Wheat,1.5,5,100,45,50,100,Clay,yes,1000,2000,-1000,Dry,Region2
1161,Wheat,1.5,2,100,100,50,10,Sandy,1,1000,2000,500,Dry,Region1
1162,Wheat,10.0,5,10000,20,200,10,Sandy,0,-500,100,-1000,Wet,Region2
1163,Maize,10.0,2,5000,100,200,100,Clay,1,-500,2000,-1000,Dry,Region1
1164,Wheat,1.5,5,100,45,50,100,Clay,1,-500,100,-1000,Wet,Region1
1165,Wheat,10.0,2,10000,100,50,10,Sandy,0,-500,2000,500,Dry,Region1
1166,Maize,1.5,2,5000,100,50,10,Sandy,yes,1000,2000,500,Dry,Region1
1167,Rice,10.0,-1,10000,20,200,100,Clay,0,1000,100,-1000,Dry,Region1
1168,Rice,-5.0,2,10000,20,200,100,Sandy,yes,-500,100,500,Wet,Region2
1169,Rice,1.5,-1,100,100,50,10,Clay,yes,1000,2000,-1000,Dry,Region2
1170,Wheat,1.5,5,5000,45,200,100,Sandy,yes,1000,100,500,Dry,Region1
1171,Maize,10.0,-1,10000,20,50,100,Sandy,1,-500,2000,500,Dry,Region2
1172,Rice,10.0,-1,100,45,200,100,Clay,0,-500,2000,500,Dry,Region1
1173,Wheat,-5.0,2,5000,20,50,10,Sandy,yes,1000,100,500,Dry,Region2
1174,Wheat,-5.0,5,5000,100,200,100,Sandy,1,-500,2000,500,Dry,Region1
1175,Rice,10.0,5,5000,20,50,10,Clay,0,-500,100,500,Wet,Region1
1176,Wheat,10.0,2,100,100,200,10,Sandy,yes,-500,100,-1000,Wet,Region2
1177,Maize,-5.0,5,10000,100,200,10,Sandy,1,-500,2000,-1000,Dry,Region1
1178,Maize,-5.0,5,100,20,50,10,Sandy,0,1000,2000,500,Wet,Region1
1179,Wheat,10.0,5,5000,20,50,10,Sandy,0,1000,2000,500,Dry,Region1
1180,Wheat,10.0,5,10000,20,50,10,Sandy,1,1000,2000,-1000,Dry,Region2
1181,Rice,1.5,2,5000,100,50,10,Sandy,1,1000,100,-1000,Dry,Region2
1182,Rice,10.0,-1,10000,20,50,10,Sandy,0,1000,2000,-1000,Dry,Region1
1183,Rice,1.5,5,5000,20,50,100,Sandy,1,1000,100,500,Wet,Region1
1184,Rice,1.5,-1,5000,20,200,100,Sandy,yes,1000,100,-1000,Dry,Region1
1185,Maize,1.5,-1,5000,20,200,100,Sandy,1,1000,2000,500,Wet,Region2
1186,Wheat,10.0,-1,5000,100,50,10,Clay,yes,-500,2000,-1000,Dry,Region2
1187,Maize,10.0,5,100,45,200,10,Sandy,1,-500,100,-1000,Wet,Region1
1188,Maize,1.5,5,10000,45,200,100,Sandy,0,1000,100,500,Wet,Region1
1189,Maize,1.5,5,5000,100,50,100,Sandy,yes,-500,2000,500,Dry,Region2
1190,Wheat,1.5,-1,100,100,200,100,Sandy,0,-500,2000,500,Dry,Region2
1191,Rice,10.0,5,5000,20,50,10,Sandy,yes,1000,2000,500,Wet,Region1
1192,Maize,1.5,5,10000,100,50,10,Clay,1,-500,100,-1000,Wet,Region2
1193,Rice,-5.0,-1,5000,100,50,10,Clay,1,1000,100,-1000,Dry,Region2
1194,Rice,1.5,2,10000,20,50,100,Sandy,yes,-500,100,500,Dry,Region1
1195,Wheat,-5.0,5,10000,100,50,100,Sandy,0,1000,2000,-1000,Dry,Region2
1196,Maize,1.5,2,5000,45,50,100,Sandy,yes,1000,100,500,Wet,Region1
1197,Wheat,1.5,2,5000,45,50,10,Sandy,0,1000,2000,500,Dry,Region1
1198,Wheat,-5.0,-1,10000,45,200,10,Clay,1,1000,100,500,Wet,Region1
1199,Rice,10.0,-1,5000,100,200,10,Sandy,1,1000,100,500,Dry,Region2
1200,Maize,10.0,-1,5000,45,200,10,Sandy,0,-500,2000,-1000,Dry,Region1
1201,Wheat,1.5,-1,5000,45,200,10,Clay,yes,-500,100,-1000,Wet,Region2
1202,Rice,10.0,-1,5000,20,200,10,Clay,1,1000,100,500,Dry,Region1
1203,Wheat,-5.0,-1,100,100,50,10,Clay,1,1000,2000,-1000,Wet,Region1
1204,Rice,-5.0,-1,5000,20,200,100,Clay,yes,1000,100,-1000,Wet,Region2
1205,Maize,-5.0,2,10000,100,50,100,Clay,1,-500,100,-1000,Wet,Region1
1206,Maize,10.0,5,10000,100,200,100,Sandy,0,1000,100,-1000,Wet,Region1
1207,Wheat,-5.0,-1,5000,45,50,10,Sandy,yes,-500,2000,-1000,Dry,Region2
1208,Wheat,10.0,-1,5000,20,200,100,Clay,1,-500,2000,500,Wet,Region1
1209,Wheat,1.5,2,100,45,200,100,Sandy,0,-500,100,-1000,Wet,Region1
1210,Rice,-5.0,2,5000,45,50,10,Sandy,0,-500,100,500,Dry,Region2
1211,Rice,-5.0,2,10000,20,200,100,Sandy,0,-500,2000,-1000,Dry,Region2
1212,Rice,1.5,-1,10000,45,50,100,Clay,0,-500,2000,500,Dry,Region2
1213,Maize,-5.0,5,100,100,200,100,Sandy,1,1000,2000,500,Dry,Region1
1214,Rice,1.5,2,10000,20,200,100,Clay,0,1000,2000,-1000,Wet,Region1
1215,Wheat,-5.0,-1,10000,20,200,10,Sandy,yes,1000,100,500,Dry,Region1
1216,Rice,-5.0,2,10000,45,50,10,Clay,1,-500,100,500,Wet,Region1
1217,Wheat,10.0,5,100,100,50,100,Sandy,1,1000,2000,500,Wet,Region1
1218,Wheat,-5.0,5,5000,20,50,100,Clay,1,-500,100,-1000,Wet,Region1
1219,Rice,-5.0,5,5000,45,200,100,Clay,1,-500,2000,-1000,Wet,Region2
1220,Wheat,1.5,2,100,45,200,10,Sandy,1,-500,100,-1000,Dry,Region2
1221,Rice,1.5,2,100,100,50,10,Clay,0,-500,100,500,Dry,Region1
1222,Rice,10.0,-1,10000,100,50,100,Clay,1,1000,2000,500,Dry,Region2
1223,Rice,1.5,5,100,20,200,10,Sandy,0,-500,2000,500,Wet,Region1
1224,Rice,1.5,2,100,100,200,10,Sandy,0,1000,100,-1000,Wet,Region2
1225,Maize,-5.0,2,10000,45,50,10,Sandy,0,-500,100,500,Dry,Region1
1226,Maize,10.0,-1,5000,100,50,100,Sandy,0,-500,2000,500,Dry,Region1
1227,Wheat,10.0,2,10000,45,200,10,Clay,yes,1000,2000,-1000,Dry,Region1
1228,Rice,-5.0,5,10000,45,200,100,Sandy,0,1000,2000,500,Dry,Region2
1229,Maize,1.5,5,100,100,50,10,Clay,0,1000,100,500,Dry,Region1
1230,Maize,1.5,5,10000,100,200,10,Sandy,1,1000,2000,-1000,Wet,Region2
1231,Maize,10.0,-1,5000,100,50,100,Sandy,yes,1000,100,-1000,Wet,Region1
1232,Wheat,10.0,2,5000,45,200,10,Clay,0,-500,100,-1000,Wet,Region2
1233,Maize,-5.0,2,5000,100,50,100,Clay,0,1000,100,500,Dry,Region1
1234,Maize,-5.0,2,100,100,50,10,Sandy,1,-500,2000,-1000,Dry,Region1
1235,Maize,1.5,2,5000,100,200,100,Sandy,1,1000,2000,500,Dry,Region2
1236,Rice,-5.0,5,10000,100,50,100,Clay,0,-500,100,-1000,Dry,Region1
1237,Wheat,1.5,5,10000,45,200,10,Sandy,0,-500,100,500,Dry,Region2
1238,Maize,1.5,-1,5000,100,200,100,Clay,0,-500,100,-1000,Dry,Region2
1239,Wheat,1.5,2,100,45,200,100,Clay,0,1000,100,-1000,Wet,Region2
1240,Rice,1.5,-1,10000,45,200,100,Sandy,1,1000,100,-1000,Dry,Region1
1241,Maize,1.5,2,5000,100,50,10,Clay,yes,-500,2000,500,Dry,Region2
1242,Rice,1.5,-1,5000,45,200,10,Sandy,1,-500,100,-1000,Wet,Region1
1243,Rice,10.0,2,5000,45,50,100,Clay,1,-500,100,500,Dry,Region2
1244,Rice,1.5,-1,5000,20,50,10,Clay,yes,1000,2000,500,Wet,Region1
1245,Rice,-5.0,5,5000,100,50,10,Sandy,yes,1000,100,500,Wet,Region1
1246,Maize,10.0,5,5000,20,50,100,Sandy,0,-500,100,-1000,Wet,Region1
1247,Wheat,10.0,5,5000,100,50,100,Clay,1,-500,100,-1000,Wet,Region2
1248,Maize,1.5,2,100,45,50,10,Clay,yes,-500,100,-1000,Wet,Region1
1249,Wheat,-5.0,2,10000,20,200,100,Sandy,yes,-500,2000,500,Wet,Region2
1250,Maize,1.5,2,5000,20,200,100,Clay,0,1000,100,500,Dry,Region1
1251,Maize,-5.0,-1,5000,20,50,100,Clay,1,-500,2000,-1000,Dry,Region1
1252,Wheat,-5.0,5,5000,20,200,10,Clay,0,-500,100,-1000,Wet,Region1
1253,Wheat,-5.0,5,10000,45,200,100,Sandy,0,1000,100,-1000,Dry,Region1
1254,Wheat,10.0,-1,5000,45,200,10,Clay,1,1000,100,-1000,Dry,Region2
1255,Maize,-5.0,2,100,100,50,100,Sandy,yes,-500,2000,-1000,Wet,Region2
1256,Wheat,1.5,2,100,45,50,10,Sandy,yes,-500,2000,-1000,Wet,Region1
1257,Wheat,-5.0,-1,100,100,200,100,Clay,0,1000,2000,-1000,Dry,Region2
1258,Maize,-5.0,2,5000,100,50,10,Clay,yes,-500,100,500,Dry,Region2
1259,Maize,-5.0,-1,100,20,50,100,Sandy,0,1000,100,500,Wet,Region2
1260,Wheat,1.5,2,5000,20,200,10,Sandy,0,1000,2000,500,Dry,Region2
1261,Wheat,10.0,2,5000,100,200,10,Sandy,0,-500,100,500,Dry,Region1
1262,Rice,-5.0,5,100,20,200,100,Sandy,yes,-500,100,500,Dry,Region1
1263,Wheat,10.0,2,100,20,200,10,Sandy,0,-500,100,500,Wet,Region2
1264,Maize,-5.0,5,100,45,50,100,Sandy,yes,-500,2000,-1000,Dry,Region1
1265,Rice,1.5,2,10000,45,200,10,Clay,0,1000,100,500,Wet,Region1
1266,Rice,10.0,-1,5000,20,200,100,Clay,0,-500,2000,-1000,Wet,Region1
1267,Rice,1.5,5,100,100,50,10,Sandy,1,-500,2000,-1000,Wet,Region1
1268,Wheat,1.5,2,10000,100,200,100,Clay,1,1000,2000,-1000,Wet,Region2
1269,Rice,1.5,5,5000,20,50,100,Sandy,1,1000,100,-1000,Wet,Region2
1270,Maize,-5.0,5,10000,20,200,100,Sandy,yes,1000,100,500,Wet,Region1
1271,Rice,-5.0,-1,100,20,50,100,Clay,1,-500,100,-1000,Dry,Region2
1272,Wheat,10.0,2,5000,45,200,10,Sandy,1,1000,2000,500,Dry,Region1
1273,Wheat,-5.0,2,100,45,200,100,Clay,0,1000,2000,500,Dry,Region1
1274,Maize,10.0,2,10000,100,200,100,Sandy,1,-500,100,500,Wet,Region1
1275,Rice,10.0,-1,100,45,50,100,Clay,1,1000,100,-1000,Wet,Region2
1276,Rice,1.5,-1,100,45,200,10,Clay,yes,1000,2000,500,Dry,Region2
1277,Maize,1.5,2,10000,20,50,10,Sandy,yes,1000,2000,500,Wet,Region1
1278,Wheat,1.5,5,100,20,50,10,Clay,1,-500,2000,-1000,Dry,Region2
1279,Rice,1.5,2,100,100,200,10,Clay,0,1000,2000,-1000,Dry,Region1
1280,Rice,-5.0,5,5000,20,50,10,Sandy,yes,1000,2000,-1000,Dry,Region2
1281,Maize,1.5,2,5000,100,50,100,Sandy,0,-500,2000,-1000,Wet,Region2
1282,Maize,10.0,-1,5000,45,50,100,Sandy,yes,1000,100,-1000,Wet,Region2
1283,Wheat,-5.0,5,5000,20,50,10,Clay,yes,-500,2000,-1000,Wet,Region2
1284,Maize,1.5,5,10000,100,200,100,Clay,0,-500,2000,500,Dry,Region1
1285,Wheat,1.5,-1,5000,100,50,100,Sandy,0,1000,2000,-1000,Dry,Region2
1286,Rice,-5.0,-1,5000,20,50,100,Clay,yes,1000,2000,500,Wet,Region1
1287,Rice,1.5,-1,5000,45,50,10,Clay,0,-500,100,-1000,Dry,Region2
1288,Wheat,10.0,-1,10000,45,200,10,Clay,yes,-500,100,-1000,Wet,Region2
1289,Maize,10.0,5,100,20,50,10,Sandy,yes,-500,2000,-1000,Wet,Region1
1290,Rice,1.5,-1,10000,45,200,100,Clay,1,1000,2000,500,Dry,Region2
1291,Wheat,1.5,-1,5000,100,200,100,Clay,yes,1000,2000,-1000,Wet,Region2
1292,Wheat,1.5,2,5000,20,50,10,Clay,yes,-500,2000,-1000,Dry,Region1
1293,Wheat,1.5,2,10000,20,200,10,Clay,yes,1000,2000,500,Wet,Region2
1294,Maize,10.0,5,10000,45,50,10,Sandy,yes,-500,100,-1000,Wet,Region2
1295,Rice,1.5,2,5000,20,50,10,Sandy,yes,1000,100,-1000,Wet,Region1
1296,Wheat,10.0,5,10000,45,50,100,Sandy,yes,-500,100,-1000,Wet,Region1
1297,Wheat,-5.0,2,10000,20,200,10,Clay,0,1000,2000,-1000,Dry,Region1
1298,Rice,1.5,5,100,45,50,10,Clay,1,1000,100,-1000,Wet,Region2
1299,Rice,1.5,-1,10000,45,200,100,Sandy,1,-500,2000,-1000,Wet,Region1
1300,Maize,-5.0,5,10000,20,50,10,Clay,0,1000,100,500,Wet,Region1
1301,Maize,1.5,5,10000,100,50,10,Clay,1,1000,100,-1000,Dry,Region1
1302,Rice,1.5,2,5000,100,50,10,Clay,yes,1000,100,500,Wet,Region1
1303,Maize,-5.0,-1,5000,20,50,100,Clay,yes,1000,2000,-1000,Wet,Region2
1304,Maize,1.5,5,100,100,50,100,Sandy,0,-500,2000,500,Dry,Region1
1305,Wheat,10.0,-1,100,20,50,100,Sandy,0,-500,2000,-1000,Dry,Region1
1306,Rice,10.0,-1,5000,100,50,100,Sandy,0,1000,100,-1000,Wet,Region2
1307,Rice,-5.0,5,10000,100,200,10,Clay,yes,1000,100,500,Wet,Region2
1308,Maize,1.5,2,5000,45,50,100,Clay,1,1000,2000,500,Wet,Region1
1309,Rice,-5.0,-1,100,20,50,10,Clay,0,-500,100,500,Dry,Region2
1310,Rice,10.0,-1,5000,100,50,100,Clay,0,-500,100,-1000,Wet,Region1
1311,Rice,10.0,5,100,45,50,10,Clay,1,-500,100,-1000,Wet,Region2
1312,Maize,-5.0,-1,100,45,200,100,Sandy,yes,1000,100,500,Wet,Region1
1313,Wheat,1.5,-1,10000,45,200,10,Sandy,1,1000,2000,-1000,Dry,Region2
1314,Wheat,-5.0,2,10000,100,200,10,Clay,0,-500,2000,-1000,Dry,Region2
1315,Rice,-5.0,2,100,20,50,10,Sandy,yes,1000,2000,500,Dry,Region1
1316,Maize,10.0,-1,5000,20,50,10,Sandy,1,-500,100,500,Wet,Region2
1317,Rice,-5.0,5,10000,45,200,100,Clay,yes,1000,2000,-1000,Wet,Region2
1318,Maize,-5.0,-1,100,20,200,10,Sandy,yes,-500,100,500,Dry,Region1
1319,Wheat,-5.0,2,5000,20,50,100,Sandy,1,1000,2000,500,Wet,Region2
1320,Maize,-5.0,5,10000,100,50,10,Clay,yes,1000,100,500,Dry,Region1
1321,Wheat,1.5,2,100,20,200,10,Clay,1,-500,100,500,Wet,Region1
1322,Maize,10.0,-1,100,45,200,10,Clay,yes,-500,2000,500,Wet,Region2
1323,Wheat,1.5,5,5000,20,50,100,Clay,yes,-500,100,-1000,Dry,Region2
1324,Wheat,10.0,5,5000,20,200,10,Clay,1,1000,2000,-1000,Dry,Region2
1325,Maize,-5.0,-1,100,45,200,10,Clay,0,1000,2000,500,Wet,Region2
1326,Rice,1.5,-1,100,45,50,100,Sandy,1,-500,100,-1000,Wet,Region2
1327,Rice,10.0,5,10000,20,50,10,Sandy,yes,-500,100,-1000,Dry,Region1
1328,Wheat,1.5,5,10000,45,50,10,Clay,0,-500,2000,500,Wet,Region2
1329,Rice,1.5,5,100,45,200,10,Clay,1,1000,2000,500,Wet,Region1
1330,Wheat,-5.0,2,5000,45,50,10,Sandy,1,-500,100,-1000,Dry,Region1
1331,Wheat,10.0,5,100,100,200,100,Clay,yes,-500,100,500,Dry,Region1
1332,Rice,1.5,5,10000,100,200,10,Clay,yes,1000,100,500,Wet,Region2
1333,Rice,10.0,2,10000,100,50,100,Sandy,1,-500,2000,-1000,Dry,Region2
